title,score,comments,link,comments_link,author,post_time,scraped_at,tags,lobsters_id,source_tag
"Datacenters in space are a terrible, horrible, no good idea",52,14,https://taranis.ie/datacenters-in-space-are-a-terrible-horrible-no-good-idea/,https://lobste.rs/s/a34m1x,fanf,2025-11-29 20:31:37-06:00,2025-11-30 14:33:00.105331,"['hardware', 'science']",a34m1x,hot
Zigbook is Plagiarizing the Zigtools Playground,58,6,https://zigtools.org/blog/zigbook-plagiarizing-playground/,https://lobste.rs/s/y6hggq,alichraghi,2025-11-29 21:53:14-06:00,2025-11-30 14:33:00.105347,"['law', 'zig']",y6hggq,hot
Langjam Gamejam: Build a programming language then make a game with it,46,15,https://langjamgamejam.com/,https://lobste.rs/s/gtcrvu,azhenley,2025-11-29 08:22:18-06:00,2025-11-30 14:33:00.105351,"['games', 'plt']",gtcrvu,hot
"Imgur Geo-Blocked the UK, So I Geo-Unblocked My Entire Network",22,14,https://blog.tymscar.com/posts/imgurukproxy/,https://lobste.rs/s/0u9ig2,Tymscar,2025-11-29 14:12:34-06:00,2025-11-30 14:33:00.105353,"['networking', 'nix', 'web']",0u9ig2,hot
Self-hosting my photos with Immich,76,24,https://michael.stapelberg.ch/posts/2025-11-29-self-hosting-photos-with-immich/,https://lobste.rs/s/cljhyb,stapelberg,2025-11-29 01:26:00-06:00,2025-11-30 14:33:00.105355,['linux'],cljhyb,hot
The Clade folding text editor,35,5,https://tibleiz.net/clade/,https://lobste.rs/s/seniup,lorddimwit,2025-11-29 15:23:01-06:00,2025-11-30 14:33:00.105357,['editors'],seniup,hot
Landlock-ing Linux,17,5,https://blog.prizrak.me/post/landlock/,https://lobste.rs/s/22oqr9,fanf,2025-11-29 19:38:09-06:00,2025-11-30 14:33:00.105358,"['linux', 'security']",22oqr9,hot
Oops! It's a kernel stack use-after-free: Exploiting NVIDIA's GPU Linux drivers,8,0,https://blog.quarkslab.com/nvidia_gpu_kernel_vmalloc_exploit.html,https://lobste.rs/s/dcifcp,pl,2025-11-30 02:47:51-06:00,2025-11-30 14:33:00.105362,"['c', 'linux', 'security']",dcifcp,hot
Major AI conference flooded with peer reviews written fully by AI,15,5,https://www.nature.com/articles/d41586-025-03506-6,https://lobste.rs/s/ww6cfs,laktak,2025-11-29 13:45:04-06:00,2025-11-30 14:33:00.105364,['vibecoding'],ww6cfs,hot
pgFirstAid-The PostgreSQL Health Check Blog Post,9,0,https://randoneering.tech/blog/pgfirstaid/pgfirstaid/,https://lobste.rs/s/heciwa,randoneering,2025-11-29 18:39:59-06:00,2025-11-30 14:33:00.105366,['databases'],heciwa,hot
Migrating Dillo from GitHub,2,1,https://dillo-browser.org/news/migration-from-github/,https://lobste.rs/s/mgwwtl,FedericoSchonborn,2025-11-30 08:09:19-06:00,2025-11-30 14:33:00.105367,['vcs'],mgwwtl,hot
Schubfach: The smallest state-of-the-art double-to-string implementation,25,3,https://vitaut.net/posts/2025/smallest-dtoa/,https://lobste.rs/s/qtsdoi,fanf,2025-11-29 10:44:34-06:00,2025-11-30 14:33:00.105369,"['c++', 'math']",qtsdoi,hot
How good engineers write bad code at big companies,112,61,https://www.seangoedecke.com/bad-code-at-big-companies/,https://lobste.rs/s/jxppk7,veverkap,2025-11-28 16:02:57-06:00,2025-11-30 14:33:00.105371,['practices'],jxppk7,hot
System 7 natively boots on the Mac mini G4,21,3,https://macos9lives.com/smforum/index.php?topic=7711.0,https://lobste.rs/s/uxqquq,jjuran,2025-11-29 10:35:50-06:00,2025-11-30 14:33:00.105372,"['mac', 'retrocomputing']",uxqquq,hot
Airbus issues major A320 recall due to software issue,22,12,https://www.reuters.com/business/aerospace-defense/airbus-issues-major-a320-recall-after-flight-control-incident-2025-11-28/,https://lobste.rs/s/ehcqlu,intarga,2025-11-29 06:53:02-06:00,2025-11-30 14:33:00.105374,['programming'],ehcqlu,hot
The HTTP Query Method,2,0,https://datatracker.ietf.org/doc/draft-ietf-httpbis-safe-method-w-body/,https://lobste.rs/s/qxxu6s,rfmoz,2025-11-30 08:22:16-06:00,2025-11-30 14:33:00.105375,['web'],qxxu6s,hot
Setting a wallpaper with less than 250 Kb,13,6,https://www.lgfae.com/posts/2025-11-21-SettingAWallpaperWithLessThan250KB.html,https://lobste.rs/s/ycwei1,blu,2025-11-29 10:41:56-06:00,2025-11-30 14:33:00.105377,"['performance', 'rust']",ycwei1,hot
acmeleaf: Simple declarative DNS-01 ACME client,15,14,https://codeberg.org/lindenii/acmeleaf,https://lobste.rs/s/7v8oy2,runxiyu,2025-11-29 01:20:52-06:00,2025-11-30 14:33:00.105379,"['devops', 'show']",7v8oy2,hot
elf: Python CLI and library for Advent of Code with input caching and safe submissions,4,1,https://github.com/cak/elf,https://lobste.rs/s/yaadqy,cak,2025-11-29 18:16:01-06:00,2025-11-30 14:33:00.105381,['python'],yaadqy,hot
Antifragile Programming and Why AI Won’t Steal Your Job,1,0,https://lemire.me/blog/2025/11/29/antifragile-programming-and-why-ai-wont-steal-your-job/,https://lobste.rs/s/m536lr,cjoly,2025-11-30 07:06:37-06:00,2025-11-30 14:33:00.105383,['vibecoding'],m536lr,hot
An update on the farphone's battery,48,22,https://far.computer/battery-update/,https://lobste.rs/s/l77zlu,louismerlin,2025-11-28 07:57:54-06:00,2025-11-30 14:33:00.105384,['linux'],l77zlu,hot
Eraser: A Dynamic Data Race Detector for Multithreaded Programs (1997),2,2,https://web.stanford.edu/class/archive/cs/cs240/cs240.1054/readings/Tocs97.pdf,https://lobste.rs/s/bx1zij,calvin,2025-11-29 17:05:52-06:00,2025-11-30 14:33:00.105385,"['pdf', 'programming']",bx1zij,hot
The Computer Wants to Lose Your Data: Bonus Bits,3,0,https://blog.sinjakli.co.uk/2025/11/29/the-computer-wants-to-lose-your-data-bonus-bits/,https://lobste.rs/s/psril1,fanf,2025-11-29 16:10:10-06:00,2025-11-30 14:33:00.105386,['databases'],psril1,hot
The CRDT Dictionary: A Field Guide to Conflict-Free Replicated Data Types,73,1,https://www.iankduncan.com/engineering/2025-11-27-crdt-dictionary,https://lobste.rs/s/60v35g,iand675,2025-11-28 04:46:09-06:00,2025-11-30 14:33:00.105388,"['databases', 'distributed', 'scaling']",60v35g,hot
The Origins of Scala (2009),3,0,https://www.artima.com/articles/the-origins-of-scala,https://lobste.rs/s/dtylzc,jez,2025-11-29 13:57:57-06:00,2025-11-30 14:33:00.105389,"['historical', 'plt', 'scala']",dtylzc,hot
"Datacenters in space are a terrible, horrible, no good idea",56,16,https://taranis.ie/datacenters-in-space-are-a-terrible-horrible-no-good-idea/,https://lobste.rs/s/a34m1x,fanf,2025-11-29 20:31:37-06:00,2025-11-30 15:02:30.838314,"['hardware', 'science']",a34m1x,hot
Zigbook is Plagiarizing the Zigtools Playground,60,6,https://zigtools.org/blog/zigbook-plagiarizing-playground/,https://lobste.rs/s/y6hggq,alichraghi,2025-11-29 21:53:14-06:00,2025-11-30 15:02:30.838320,"['law', 'zig']",y6hggq,hot
Langjam Gamejam: Build a programming language then make a game with it,46,15,https://langjamgamejam.com/,https://lobste.rs/s/gtcrvu,azhenley,2025-11-29 08:22:18-06:00,2025-11-30 15:02:30.838321,"['games', 'plt']",gtcrvu,hot
"Imgur Geo-Blocked the UK, So I Geo-Unblocked My Entire Network",22,14,https://blog.tymscar.com/posts/imgurukproxy/,https://lobste.rs/s/0u9ig2,Tymscar,2025-11-29 14:12:34-06:00,2025-11-30 15:02:30.838323,"['networking', 'nix', 'web']",0u9ig2,hot
Self-hosting my photos with Immich,77,24,https://michael.stapelberg.ch/posts/2025-11-29-self-hosting-photos-with-immich/,https://lobste.rs/s/cljhyb,stapelberg,2025-11-29 01:26:00-06:00,2025-11-30 15:02:30.838324,['linux'],cljhyb,hot
The Clade folding text editor,35,5,https://tibleiz.net/clade/,https://lobste.rs/s/seniup,lorddimwit,2025-11-29 15:23:01-06:00,2025-11-30 15:02:30.838326,['editors'],seniup,hot
Landlock-ing Linux,19,5,https://blog.prizrak.me/post/landlock/,https://lobste.rs/s/22oqr9,fanf,2025-11-29 19:38:09-06:00,2025-11-30 15:02:30.838327,"['linux', 'security']",22oqr9,hot
Migrating Dillo from GitHub,5,1,https://dillo-browser.org/news/migration-from-github/,https://lobste.rs/s/mgwwtl,FedericoSchonborn,2025-11-30 08:09:19-06:00,2025-11-30 15:02:30.838328,['vcs'],mgwwtl,hot
Oops! It's a kernel stack use-after-free: Exploiting NVIDIA's GPU Linux drivers,9,0,https://blog.quarkslab.com/nvidia_gpu_kernel_vmalloc_exploit.html,https://lobste.rs/s/dcifcp,pl,2025-11-30 02:47:51-06:00,2025-11-30 15:02:30.838330,"['c', 'linux', 'security']",dcifcp,hot
The HTTP Query Method,3,1,https://datatracker.ietf.org/doc/draft-ietf-httpbis-safe-method-w-body/,https://lobste.rs/s/qxxu6s,rfmoz,2025-11-30 08:22:16-06:00,2025-11-30 15:02:30.838331,['web'],qxxu6s,hot
Major AI conference flooded with peer reviews written fully by AI,15,5,https://www.nature.com/articles/d41586-025-03506-6,https://lobste.rs/s/ww6cfs,laktak,2025-11-29 13:45:04-06:00,2025-11-30 15:02:30.838332,['vibecoding'],ww6cfs,hot
pgFirstAid-The PostgreSQL Health Check Blog Post,9,0,https://randoneering.tech/blog/pgfirstaid/pgfirstaid/,https://lobste.rs/s/heciwa,randoneering,2025-11-29 18:39:59-06:00,2025-11-30 15:02:30.838334,['databases'],heciwa,hot
Schubfach: The smallest state-of-the-art double-to-string implementation,25,3,https://vitaut.net/posts/2025/smallest-dtoa/,https://lobste.rs/s/qtsdoi,fanf,2025-11-29 10:44:34-06:00,2025-11-30 15:02:30.838337,"['c++', 'math']",qtsdoi,hot
How good engineers write bad code at big companies,112,61,https://www.seangoedecke.com/bad-code-at-big-companies/,https://lobste.rs/s/jxppk7,veverkap,2025-11-28 16:02:57-06:00,2025-11-30 15:02:30.838338,['practices'],jxppk7,hot
System 7 natively boots on the Mac mini G4,21,3,https://macos9lives.com/smforum/index.php?topic=7711.0,https://lobste.rs/s/uxqquq,jjuran,2025-11-29 10:35:50-06:00,2025-11-30 15:02:30.838339,"['mac', 'retrocomputing']",uxqquq,hot
Airbus issues major A320 recall due to software issue,22,12,https://www.reuters.com/business/aerospace-defense/airbus-issues-major-a320-recall-after-flight-control-incident-2025-11-28/,https://lobste.rs/s/ehcqlu,intarga,2025-11-29 06:53:02-06:00,2025-11-30 15:02:30.838341,['programming'],ehcqlu,hot
Antifragile Programming and Why AI Won’t Steal Your Job,2,0,https://lemire.me/blog/2025/11/29/antifragile-programming-and-why-ai-wont-steal-your-job/,https://lobste.rs/s/m536lr,cjoly,2025-11-30 07:06:37-06:00,2025-11-30 15:02:30.838342,['vibecoding'],m536lr,hot
Setting a wallpaper with less than 250 Kb,14,7,https://www.lgfae.com/posts/2025-11-21-SettingAWallpaperWithLessThan250KB.html,https://lobste.rs/s/ycwei1,blu,2025-11-29 10:41:56-06:00,2025-11-30 15:02:30.838343,"['performance', 'rust']",ycwei1,hot
acmeleaf: Simple declarative DNS-01 ACME client,15,14,https://codeberg.org/lindenii/acmeleaf,https://lobste.rs/s/7v8oy2,runxiyu,2025-11-29 01:20:52-06:00,2025-11-30 15:02:30.838345,"['devops', 'show']",7v8oy2,hot
Advent of Code 2025,1,0,https://adventofcode.com/2025,https://lobste.rs/s/gtzhvt,equeue,2025-11-30 08:59:23-06:00,2025-11-30 15:02:30.838346,['programming'],gtzhvt,hot
elf: Python CLI and library for Advent of Code with input caching and safe submissions,4,1,https://github.com/cak/elf,https://lobste.rs/s/yaadqy,cak,2025-11-29 18:16:01-06:00,2025-11-30 15:02:30.838348,['python'],yaadqy,hot
An update on the farphone's battery,48,22,https://far.computer/battery-update/,https://lobste.rs/s/l77zlu,louismerlin,2025-11-28 07:57:54-06:00,2025-11-30 15:02:30.838349,['linux'],l77zlu,hot
The Computer Wants to Lose Your Data: Bonus Bits,4,0,https://blog.sinjakli.co.uk/2025/11/29/the-computer-wants-to-lose-your-data-bonus-bits/,https://lobste.rs/s/psril1,fanf,2025-11-29 16:10:10-06:00,2025-11-30 15:02:30.838350,['databases'],psril1,hot
Eraser: A Dynamic Data Race Detector for Multithreaded Programs (1997),2,2,https://web.stanford.edu/class/archive/cs/cs240/cs240.1054/readings/Tocs97.pdf,https://lobste.rs/s/bx1zij,calvin,2025-11-29 17:05:52-06:00,2025-11-30 15:02:30.838351,"['pdf', 'programming']",bx1zij,hot
The CRDT Dictionary: A Field Guide to Conflict-Free Replicated Data Types,73,1,https://www.iankduncan.com/engineering/2025-11-27-crdt-dictionary,https://lobste.rs/s/60v35g,iand675,2025-11-28 04:46:09-06:00,2025-11-30 15:02:30.838353,"['databases', 'distributed', 'scaling']",60v35g,hot
Migrating Dillo from GitHub,33,8,https://dillo-browser.org/news/migration-from-github/,https://lobste.rs/s/mgwwtl,FedericoSchonborn,2025-11-30 08:09:19-06:00,2025-11-30 18:36:47.187750,['vcs'],mgwwtl,hot
Advent of Code 2025,28,6,https://adventofcode.com/2025,https://lobste.rs/s/gtzhvt,equeue,2025-11-30 08:59:23-06:00,2025-11-30 18:36:47.187758,['programming'],gtzhvt,hot
"Datacenters in space are a terrible, horrible, no good idea",71,22,https://taranis.ie/datacenters-in-space-are-a-terrible-horrible-no-good-idea/,https://lobste.rs/s/a34m1x,fanf,2025-11-29 20:31:37-06:00,2025-11-30 18:36:47.187760,"['hardware', 'science']",a34m1x,hot
Zigbook is Plagiarizing the Zigtools Playground,71,8,https://zigtools.org/blog/zigbook-plagiarizing-playground/,https://lobste.rs/s/y6hggq,alichraghi,2025-11-29 21:53:14-06:00,2025-11-30 18:36:47.187762,"['law', 'zig']",y6hggq,hot
GitHub to Codeberg: my experience,16,1,https://eldred.fr/blog/forge-migration/,https://lobste.rs/s/cni8ze,jefftriplett,2025-11-30 10:10:40-06:00,2025-11-30 18:36:47.187763,['vcs'],cni8ze,hot
Windows drive letters are not limited to A-Z,12,1,https://www.ryanliptak.com/blog/windows-drive-letters-are-not-limited-to-a-z/,https://lobste.rs/s/9fjia8,susam,2025-11-30 10:52:13-06:00,2025-11-30 18:36:47.187764,['windows'],9fjia8,hot
The HTTP Query Method,12,1,https://datatracker.ietf.org/doc/draft-ietf-httpbis-safe-method-w-body/,https://lobste.rs/s/qxxu6s,rfmoz,2025-11-30 08:22:16-06:00,2025-11-30 18:36:47.187766,['web'],qxxu6s,hot
Langjam Gamejam: Build a programming language then make a game with it,47,15,https://langjamgamejam.com/,https://lobste.rs/s/gtcrvu,azhenley,2025-11-29 08:22:18-06:00,2025-11-30 18:36:47.187767,"['games', 'plt']",gtcrvu,hot
From Zero to GitHub: Starting A New jj (Jujutsu) Repo,5,0,https://www.visualmode.dev/from-zero-to-github-starting-a-new-jj-jujutsu-repo,https://lobste.rs/s/p9s9yx,jbranchaud,2025-11-30 10:17:29-06:00,2025-11-30 18:36:47.187769,['vcs'],p9s9yx,hot
"Imgur Geo-Blocked the UK, So I Geo-Unblocked My Entire Network",23,15,https://blog.tymscar.com/posts/imgurukproxy/,https://lobste.rs/s/0u9ig2,Tymscar,2025-11-29 14:12:34-06:00,2025-11-30 18:36:47.187770,"['networking', 'nix', 'web']",0u9ig2,hot
Self-hosting my photos with Immich,78,25,https://michael.stapelberg.ch/posts/2025-11-29-self-hosting-photos-with-immich/,https://lobste.rs/s/cljhyb,stapelberg,2025-11-29 01:26:00-06:00,2025-11-30 18:36:47.187771,['linux'],cljhyb,hot
Landlock-ing Linux,28,5,https://blog.prizrak.me/post/landlock/,https://lobste.rs/s/22oqr9,fanf,2025-11-29 19:38:09-06:00,2025-11-30 18:36:47.187773,"['linux', 'security']",22oqr9,hot
The Clade folding text editor,42,6,https://tibleiz.net/clade/,https://lobste.rs/s/seniup,lorddimwit,2025-11-29 15:23:01-06:00,2025-11-30 18:36:47.187775,['editors'],seniup,hot
Oops! It's a kernel stack use-after-free: Exploiting NVIDIA's GPU Linux drivers,12,0,https://blog.quarkslab.com/nvidia_gpu_kernel_vmalloc_exploit.html,https://lobste.rs/s/dcifcp,pl,2025-11-30 02:47:51-06:00,2025-11-30 18:36:47.187776,"['c', 'linux', 'security']",dcifcp,hot
Antifragile Programming and Why AI Won’t Steal Your Job,2,1,https://lemire.me/blog/2025/11/29/antifragile-programming-and-why-ai-wont-steal-your-job/,https://lobste.rs/s/m536lr,cjoly,2025-11-30 07:06:37-06:00,2025-11-30 18:36:47.187779,['vibecoding'],m536lr,hot
Major AI conference flooded with peer reviews written fully by AI,17,6,https://www.nature.com/articles/d41586-025-03506-6,https://lobste.rs/s/ww6cfs,laktak,2025-11-29 13:45:04-06:00,2025-11-30 18:36:47.187780,['vibecoding'],ww6cfs,hot
Linux Kernel Explorer | reverser.dev,2,0,https://reverser.dev,https://lobste.rs/s/y9mdbc,df,2025-11-30 11:51:57-06:00,2025-11-30 18:36:47.187782,['linux'],y9mdbc,hot
pgFirstAid-The PostgreSQL Health Check Blog Post,9,0,https://randoneering.tech/blog/pgfirstaid/pgfirstaid/,https://lobste.rs/s/heciwa,randoneering,2025-11-29 18:39:59-06:00,2025-11-30 18:36:47.187783,['databases'],heciwa,hot
Schubfach: The smallest state-of-the-art double-to-string implementation,27,3,https://vitaut.net/posts/2025/smallest-dtoa/,https://lobste.rs/s/qtsdoi,fanf,2025-11-29 10:44:34-06:00,2025-11-30 18:36:47.187784,"['c++', 'math']",qtsdoi,hot
How good engineers write bad code at big companies,113,61,https://www.seangoedecke.com/bad-code-at-big-companies/,https://lobste.rs/s/jxppk7,veverkap,2025-11-28 16:02:57-06:00,2025-11-30 18:36:47.187786,['practices'],jxppk7,hot
System 7 natively boots on the Mac mini G4,22,3,https://macos9lives.com/smforum/index.php?topic=7711.0,https://lobste.rs/s/uxqquq,jjuran,2025-11-29 10:35:50-06:00,2025-11-30 18:36:47.187787,"['mac', 'retrocomputing']",uxqquq,hot
Airbus issues major A320 recall due to software issue,22,12,https://www.reuters.com/business/aerospace-defense/airbus-issues-major-a320-recall-after-flight-control-incident-2025-11-28/,https://lobste.rs/s/ehcqlu,intarga,2025-11-29 06:53:02-06:00,2025-11-30 18:36:47.187788,['programming'],ehcqlu,hot
Dotcom Survivor Syndrome – How Perl’s Early Success Created the Seeds of Its Downfall,1,0,https://perlhacks.com/2025/11/dotcom-survivor-syndrome-how-perls-early-success-created-the-seeds-of-its-downfall/,https://lobste.rs/s/nddsix,tomhukins,2025-11-30 11:50:05-06:00,2025-11-30 18:36:47.187790,"['historical', 'perl', 'practices']",nddsix,hot
interop and mathml core,1,0,https://conflor.es/blog/2025-11-27-interop-and-mathml/,https://lobste.rs/s/wepzub,isuffix,2025-11-30 11:01:27-06:00,2025-11-30 18:36:47.187791,"['math', 'web']",wepzub,hot
Setting a wallpaper with less than 250 Kb,14,7,https://www.lgfae.com/posts/2025-11-21-SettingAWallpaperWithLessThan250KB.html,https://lobste.rs/s/ycwei1,blu,2025-11-29 10:41:56-06:00,2025-11-30 18:36:47.187792,"['performance', 'rust']",ycwei1,hot
